,location,date,vaccine,total_vaccinations
266,Argentina,2021-04-04,Moderna,3
267,Argentina,2021-04-04,Oxford/AstraZeneca,675347
268,Argentina,2021-04-04,Sinopharm/Beijing,829417
269,Argentina,2021-04-04,Sputnik V,3081514
270,Argentina,2021-04-05,Oxford/AstraZeneca,709175
271,Argentina,2021-04-05,Sinopharm/Beijing,858550
272,Argentina,2021-04-05,Sputnik V,3184565
273,Argentina,2021-04-06,Oxford/AstraZeneca,735635
274,Argentina,2021-04-06,Sinopharm/Beijing,933700
275,Argentina,2021-04-06,Sputnik V,3276981
276,Argentina,2021-04-07,Oxford/AstraZeneca,765872
277,Argentina,2021-04-07,Sinopharm/Beijing,1052011
278,Argentina,2021-04-07,Sputnik V,3366887
279,Argentina,2021-04-08,Oxford/AstraZeneca,789968
280,Argentina,2021-04-08,Pfizer/BioNTech,22
281,Argentina,2021-04-08,Sinopharm/Beijing,1182308
282,Argentina,2021-04-08,Sputnik V,3448482
283,Argentina,2021-04-09,Oxford/AstraZeneca,808322
284,Argentina,2021-04-09,Sinopharm/Beijing,1329887
285,Argentina,2021-04-09,Sputnik V,3522969
286,Argentina,2021-04-10,Oxford/AstraZeneca,813138
287,Argentina,2021-04-10,Sinopharm/Beijing,1383877
288,Argentina,2021-04-10,Sputnik V,3557115
289,Argentina,2021-04-11,Oxford/AstraZeneca,814004
290,Argentina,2021-04-11,Sinopharm/Beijing,1416734
291,Argentina,2021-04-11,Sputnik V,3571709
292,Argentina,2021-04-12,Oxford/AstraZeneca,823920
293,Argentina,2021-04-12,Sinopharm/Beijing,1512088
294,Argentina,2021-04-12,Sputnik V,3648265
295,Argentina,2021-04-13,Moderna,4
296,Argentina,2021-04-13,Oxford/AstraZeneca,832258
297,Argentina,2021-04-13,Sinopharm/Beijing,1594574
298,Argentina,2021-04-13,Sputnik V,3743524
299,Argentina,2021-04-14,Oxford/AstraZeneca,838698
300,Argentina,2021-04-14,Pfizer/BioNTech,23
301,Argentina,2021-04-14,Sinopharm/Beijing,1661950
302,Argentina,2021-04-14,Sputnik V,3841411
303,Argentina,2021-04-15,Oxford/AstraZeneca,842896
304,Argentina,2021-04-15,Sinopharm/Beijing,1713129
305,Argentina,2021-04-15,Sputnik V,3937155
306,Argentina,2021-04-16,Oxford/AstraZeneca,846180
307,Argentina,2021-04-16,Sinopharm/Beijing,1759234
308,Argentina,2021-04-16,Sputnik V,4011501
309,Argentina,2021-04-17,Oxford/AstraZeneca,847073
310,Argentina,2021-04-17,Sinopharm/Beijing,1775348
311,Argentina,2021-04-17,Sputnik V,4040215
312,Argentina,2021-04-18,Oxford/AstraZeneca,848347
313,Argentina,2021-04-18,Sinopharm/Beijing,1777611
314,Argentina,2021-04-18,Sputnik V,4056583
315,Argentina,2021-04-19,Oxford/AstraZeneca,863744
316,Argentina,2021-04-19,Pfizer/BioNTech,24
317,Argentina,2021-04-19,Sinopharm/Beijing,1802574
318,Argentina,2021-04-19,Sputnik V,4106725
319,Argentina,2021-04-20,Oxford/AstraZeneca,916279
320,Argentina,2021-04-20,Sinopharm/Beijing,1826608
321,Argentina,2021-04-20,Sputnik V,4152895
322,Argentina,2021-04-21,CanSino,4
323,Argentina,2021-04-21,Moderna,5
324,Argentina,2021-04-21,Oxford/AstraZeneca,1036563
325,Argentina,2021-04-21,Sinopharm/Beijing,1847819
326,Argentina,2021-04-21,Sputnik V,4185383
327,Argentina,2021-04-22,CanSino,5
328,Argentina,2021-04-22,Oxford/AstraZeneca,1153884
329,Argentina,2021-04-22,Sinopharm/Beijing,1863377
330,Argentina,2021-04-22,Sputnik V,4230718
331,Argentina,2021-04-23,Oxford/AstraZeneca,1272211
332,Argentina,2021-04-23,Sinopharm/Beijing,1877474
333,Argentina,2021-04-23,Sputnik V,4292873
334,Argentina,2021-04-24,Oxford/AstraZeneca,1326073
335,Argentina,2021-04-24,Sinopharm/Beijing,1879045
336,Argentina,2021-04-24,Sputnik V,4329677
337,Argentina,2021-04-25,Oxford/AstraZeneca,1358533
338,Argentina,2021-04-25,Sinopharm/Beijing,1879420
339,Argentina,2021-04-25,Sputnik V,4346164
340,Argentina,2021-04-26,Oxford/AstraZeneca,1431634
341,Argentina,2021-04-26,Sinopharm/Beijing,1886987
342,Argentina,2021-04-26,Sputnik V,4437633
343,Argentina,2021-04-27,Oxford/AstraZeneca,1490759
344,Argentina,2021-04-27,Sinopharm/Beijing,1894344
